,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.033448314666748045,0.0032101705613164283,0.0007339954376220703,9.915686248852988e-05,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 2}",0.25000000000000006,0.24999999999999997,0.2500000000000001,0.2500000000000001,0.2586206896551724,0.25168918918918926,0.003421785447978645,268,0.24999999999999994,0.24999999999999997,0.25000000000000006,0.25,0.2668067226890757,0.2533613445378151,0.006722689075630275
1,0.048223257064819336,0.01657962556882308,0.0006483554840087891,3.1104479282435814e-05,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 3}",0.3735599078341014,0.2583333333333333,0.24758064516129039,0.29626436781609206,0.24999999999999997,0.28539225802156837,0.047752804207289785,220,0.34925731516640607,0.2563559322033898,0.31074604056682414,0.2920856867337098,0.25,0.29168899493406597,0.0365070882639212
2,0.03608555793762207,0.014315199868806267,0.000679779052734375,5.787817134191967e-05,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 4}",0.25,0.325268817204301,0.2500000000000001,0.27678571428571436,0.24999999999999997,0.2705509909390958,0.02945922242337509,251,0.24999999999999994,0.3584231386588101,0.25000000000000006,0.2567567567567568,0.25223214285714285,0.27348240765454196,0.0425419695687959
3,0.04031314849853516,0.012908268698812595,0.0006296634674072266,6.134357609876922e-06,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 5}",0.24999999999999997,0.24999999999999997,0.25000000000000006,0.25000000000000006,0.24999999999999997,0.25,4.113022272515943e-17,358,0.24999999999999994,0.24999999999999997,0.25000000000000006,0.25000000000000006,0.25,0.25,4.47545209131181e-17
4,0.06597690582275391,0.013680290735543691,0.000750732421875,7.039663744338144e-05,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 6}",0.25000000000000006,0.22150537634408599,0.311251920122888,0.3571839080459771,0.24999999999999997,0.27771983259677924,0.049202292816474244,234,0.24999999999999994,0.2607161899326389,0.3298410594534519,0.3299344127895061,0.2540650406504065,0.2849113405652007,0.0368821309159802
5,0.08639707565307617,0.027979780036347723,0.0007128238677978516,6.610404376222143e-05,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 7}",0.3297427035330261,0.3894009216589861,0.29233870967741943,0.3517857142857144,0.4027777777777778,0.35298427748024525,0.04004657459665825,171,0.405590223121608,0.42798132775778075,0.2893959533303796,0.34710395121230786,0.41360509367681497,0.3767353098197782,0.051622324517072195
6,0.10536699295043946,0.051153477275657125,0.0007679462432861328,3.143546931165226e-05,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 8}",0.5287634408602151,0.4066436251920122,0.5703149001536099,0.39345238095238105,0.23275862068965514,0.4276186648918504,0.11801195737131633,136,0.5549162583092461,0.4508233157321287,0.56725122594114,0.40479075233408796,0.25,0.4455563104633205,0.1154998643134556
7,0.16881322860717773,0.04840204445921249,0.0007359504699707032,7.37088148244518e-05,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 9}",0.6436443932411674,0.5483294930875575,0.5965821812596006,0.4224137931034484,0.32557471264367815,0.5088162607924149,0.11663834875899269,63,0.6927466755101956,0.6015148246513018,0.6272219009785001,0.422213887554222,0.3322871131659381,0.5351968803720315,0.1353707076090149
8,0.148992919921875,0.03302736420071112,0.0007741928100585937,0.00011787829268360379,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 10}",0.44193548387096776,0.24999999999999997,0.4825652841781876,0.6001231527093596,0.43534482758620685,0.44116881038634387,0.11292765414405755,111,0.4053556543484301,0.24999999999999997,0.3907554400746955,0.6489369351812609,0.4556733854077417,0.43014428300242563,0.12894950909038702
9,0.15816216468811034,0.02494234262135958,0.0007696151733398438,6.238772355978647e-05,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 15}",0.25,0.24999999999999997,0.2500000000000001,0.4951970443349755,0.24999999999999997,0.29845955099187865,0.09764123406980363,214,0.24999999999999994,0.24999999999999997,0.25000000000000006,0.51343021728397,0.25,0.302686043456794,0.105372086913588
10,0.1959601879119873,0.04216400267925121,0.0007719516754150391,0.00014112909021289915,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 20}",0.4238671274961598,0.6318356374807987,0.274404761904762,0.5667282430213464,0.49450830140485313,0.4780551788181793,0.12382475259663947,76,0.38036814654688295,0.6215582477896504,0.3275365529463891,0.6173691625628499,0.4882884556261529,0.48702411309438504,0.11991883999048733
